max_p,utility,inertia,reliability
2.039872908981912,0.8085754496072821,0.9896000000000014,0.1500000000000001
2.2835986639225125,1.7347608882104957,0.9900000000000014,0.07
0.0997765126272734,0.2693952219651068,0.9900000000000014,1.0000000000000009
2.01287940984096,0.7087359916983077,0.9816000000000012,0.2241999999999999
1.856771059657316,0.6001528935829709,0.979700000000001,0.7832000000000002
1.9991623526870692,0.7111989856938576,0.9848000000000012,0.1653999999999998
1.7370100864297713,0.6002187622976523,0.9606000000000016,0.4830000000000002
2.14793235234032,1.2866515081000505,0.9900000000000014,0.07
2.0996748508219087,1.120394455669398,0.9900000000000014,0.07
0.1918250878216626,0.518425728138624,0.9900000000000014,1.0000000000000009
2.047969819823873,0.8841511015577254,0.9900000000000014,0.11
2.19988610258462,1.4646152035651523,0.9900000000000014,0.07
2.062634430509546,0.923153983249053,0.9900000000000014,0.1079
1.9928187200591447,0.6501332922507079,0.9800000000000008,0.3287
2.249830329418746,1.6315546541956918,0.9900000000000014,0.07
0.2262479595106844,0.5515351323296189,0.9900000000000014,1.0000000000000009
0.1482868999744883,0.4314385772075306,0.9900000000000014,1.0000000000000009
1.7670197331806432,0.6000601451029779,0.9775000000000011,0.7279000000000001
1.5463197250244085,0.6006854434942246,0.9819000000000012,0.3663000000000002
1.9988823547153212,0.7754275561903193,0.9900000000000014,0.07
2.0469088800579422,0.9393416128358816,0.9900000000000014,0.07
